Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement
Germany,Israel,Proxy War,2000,784,1899,33382,37235,106.54,0.5,1854.2,Plains,123.3,1028,20943.3,1780.7,None,Regional,Nuclear,2844,72,No,6.28,Yes,Victory_B,-60.672,95.664,Arid,None,No
UK,Turkey,War,1982,319,35648,11083,41795,204.65,-1.3,2545.9,Mountain,1321.1,1174.9,5775.5,16007.9,Regional,None,Cyber,2336,12,No,13.02,No,Victory_A,37.429,122.114,Arid,Water,Yes
Brazil,UK,Cold Conflict,1979,844,33995,43838,184909,495.89,0,62.5,Mountain,1101.1,889.7,18275.3,1067.1,NATO,Regional,Conventional,89,70,No,12.51,Yes,Victory_A,-64.859,-126.457,Tropical,Water,Yes
USA,Iran,Proxy War,2008,1973,25014,43678,80173,0.53,21.9,198.7,Mountain,282.1,237.7,10151.5,19779.4,Regional,Regional,Cyber,1405,0,No,1.81,No,Victory_B,22.02,-119.554,Polar,Land,Yes
USA,Canada,Civil War,1964,1877,40233,42897,183157,98.68,-8.2,1372.4,Urban,892.5,105.3,22577.8,19271.1,Regional,Regional,Conventional,3573,158,Yes,5.62,No,Victory_B,66.277,-28.362,Arid,Land,Yes
Israel,UK,Skirmish,1972,621,14735,4771,87854,94.28,-7.7,2213.2,Mountain,1063,422.9,15673.5,8080.3,Regional,None,Mixed,1617,194,No,17.2,No,Victory_A,-83.768,-64.732,Temperate,Oil,Yes
Turkey,Canada,Cold Conflict,1994,785,40479,24233,197106,358.59,17.4,473.1,Forest,294,52.7,24414.1,11812.5,None,None,Conventional,3594,55,No,3.12,Yes,Victory_B,-85.178,115.046,Tropical,Land,No
Australia,Israel,Cold Conflict,2011,1192,45514,43309,183584,176.31,18.9,815,Plains,131.6,1175.1,6149.3,16733.8,Regional,NATO,Nuclear,1525,146,No,7.59,Yes,Victory_B,88.173,178.852,Temperate,Water,Yes
Germany,UK,Skirmish,2020,397,7635,514,168475,228.68,19.9,696,Plains,493.1,984.6,23099.7,23978.5,NATO,Regional,Mixed,1695,3,No,4.5,Yes,Victory_A,31.189,-114.8,Polar,Land,Yes
Canada,Canada,Skirmish,1964,1204,47372,47961,111105,74.4,6.7,1197.2,Urban,190.9,789.6,8932.8,13008.6,Regional,Regional,Conventional,3690,27,No,2.8,No,Victory_B,-64.675,94.516,Arid,Water,No
Ukraine,Ukraine,Civil War,1995,1082,42232,21342,119147,202.56,26.3,675,Urban,792.4,1245.6,15553,24917,NATO,None,Mixed,4041,43,Yes,2.73,Yes,Victory_B,-34.795,38.609,Polar,None,No
China,UK,Cold Conflict,2013,1504,2908,35284,48352,51.69,14,1057.8,Urban,594.3,155,4371,8134.4,NATO,Regional,Mixed,3162,29,Yes,6.96,No,Victory_A,87.301,51.993,Arid,Land,Yes
UK,Russia,Cold Conflict,1995,1957,13155,38479,122611,266.57,-5.3,2185.6,Forest,647.9,1000.5,18997,13167,NATO,Regional,Mixed,752,35,No,16.07,No,Victory_B,-49.101,-84.801,Arid,Oil,No
USA,France,War,2005,1615,27705,15331,153557,49.06,25.9,1833,Plains,760.5,206.1,24456.5,2899.2,Regional,Regional,Cyber,715,180,No,19.33,No,Stalemate,45.509,-145.009,Temperate,Oil,No
France,Germany,Proxy War,1993,460,26765,21949,57778,395.28,32.9,243.5,Desert,1374.9,86.2,19687.8,13915.4,None,None,Nuclear,2441,105,No,11.44,Yes,Victory_A,-46.587,15.572,Polar,Oil,No
USA,India,Proxy War,2024,61,32867,41263,98648,283.34,-7.3,1913.2,Urban,1109.9,186.9,15398.8,13412.5,None,Regional,Mixed,3429,121,No,12.7,Yes,Stalemate,-18.276,40.862,Arid,Land,Yes
India,China,War,1978,369,4397,31776,1288,362.01,7.6,1431.2,Mountain,881.6,1331.4,11210.9,21221.9,Regional,Regional,Nuclear,474,186,Yes,15.57,Yes,Victory_A,68.527,166.698,Polar,None,No
Japan,Ukraine,Proxy War,2011,1145,44077,22156,81660,209.32,11.9,2803.7,Desert,509.8,617.2,8637.5,24913.8,Regional,NATO,Conventional,2821,195,No,13.24,Yes,Stalemate,-84.881,63.083,Arid,None,Yes
USA,Japan,Skirmish,2001,719,21043,41128,144171,190.81,-3.4,867.9,Desert,38.9,69.5,10481.1,24654.6,NATO,Regional,Mixed,1651,3,Yes,16.97,Yes,Stalemate,-34.698,-20.274,Polar,Oil,No
India,USA,Proxy War,2003,546,33316,20047,57243,49.19,29,2178.5,Urban,164,817.5,8213.9,5915.2,Regional,None,Nuclear,2117,10,Yes,17.68,Yes,Victory_B,-2.305,177.84,Polar,None,Yes
Germany,Israel,Proxy War,2006,1606,5108,45516,166706,261.98,2.8,2192.6,Mountain,1023.5,280.4,20819.4,8467.8,None,None,Mixed,4798,52,Yes,12.55,No,Victory_A,22.589,-45.634,Arid,Water,Yes
Germany,Israel,War,2015,1041,21377,26140,66684,257.3,25.2,664.5,Urban,517.5,10.6,22328.8,6873.7,Regional,Regional,Cyber,3760,123,Yes,10.66,No,Victory_A,-84.917,-121.479,Polar,Land,No
Ukraine,Australia,Civil War,1971,496,16920,46210,14729,234.1,20.2,2709.7,Urban,468.9,1062,23741.9,5000,Regional,NATO,Conventional,2087,87,No,7.82,Yes,Victory_B,-16.079,42.473,Arid,None,No
Turkey,Turkey,Proxy War,1969,497,6112,47078,34555,370.29,16.9,1473.5,Mountain,1244.7,217.7,10464.9,3761.9,Regional,Regional,Cyber,2901,53,Yes,9.23,No,Victory_B,-28.028,-84.15,Arid,None,No
Israel,Iran,Proxy War,1982,505,22353,25382,51391,416.27,-1.4,2036.7,Desert,678.8,1319.5,13660,12798.5,NATO,Regional,Mixed,3100,83,No,6.91,No,Stalemate,-85.164,151.994,Arid,None,Yes
Brazil,India,Civil War,2021,1556,29302,26301,50424,375.42,-0.1,437.6,Desert,1259.5,830.3,14426.6,21813.7,Regional,Regional,Nuclear,3592,44,Yes,8.54,No,Victory_A,-26.034,-25.967,Tropical,Oil,Yes
USA,USA,War,1974,969,29336,6933,47048,72.02,-7.9,773.4,Mountain,1241.4,122.7,16280.7,14750.8,Regional,None,Mixed,4372,144,No,17.99,Yes,Victory_B,77.704,-126.138,Arid,Land,No
France,Israel,Civil War,1995,1339,1720,4852,186823,311.07,0.8,1758.3,Desert,113.2,305.7,71.4,21817.9,Regional,Regional,Mixed,3655,63,No,19.45,Yes,Victory_B,-40.567,-129.013,Polar,None,No
USA,Germany,War,2022,1093,46452,24607,175981,40.25,5.5,957.1,Forest,1323.6,855.6,21068.8,23987.8,None,None,Mixed,182,185,Yes,7.23,Yes,Stalemate,15.406,53.87,Tropical,Land,No
Israel,India,Skirmish,2006,1751,33816,20269,127253,347.34,27.5,1499.1,Urban,108.7,474,6710.8,9584.7,NATO,NATO,Cyber,1622,12,Yes,4.41,No,Stalemate,-36.343,-48.277,Arid,None,Yes
Iran,UK,War,1954,161,9419,44846,33228,190.98,6.5,1122,Forest,1348.9,745.5,11809.4,20893.3,NATO,Regional,Cyber,83,178,Yes,1.56,Yes,Victory_B,-70.8,-49.059,Polar,Water,Yes
France,UK,Skirmish,2004,1638,16675,41595,158697,66.34,24,1921.7,Forest,634.2,1119.5,21040.8,1317.9,None,None,Nuclear,85,51,Yes,16.74,No,Stalemate,-37.85,40.437,Polar,Land,No
Russia,Japan,Skirmish,2010,1912,12304,25030,150451,431.04,9.8,1461.4,Forest,1065.4,1109.8,24921.4,12032,NATO,None,Conventional,1742,142,No,17.41,Yes,Victory_A,-5.263,-100.256,Polar,Land,Yes
Australia,USA,War,1957,718,12052,5123,188376,307.04,25.3,13.8,Plains,988.9,977.5,19874.1,9213.7,None,None,Conventional,1310,131,Yes,9.01,No,Stalemate,-36.682,-127.646,Tropical,Land,No
Brazil,Israel,Cold Conflict,1965,1169,17887,1082,107423,177.43,33.9,1949,Plains,726.4,1240.6,630.6,5129.2,NATO,Regional,Nuclear,940,81,Yes,10.85,Yes,Victory_A,22.35,56.615,Temperate,Water,No
Russia,China,War,1997,1593,33972,14405,104189,15.46,0.8,1266.4,Forest,867.6,279.9,9225.2,10965.4,NATO,NATO,Mixed,1036,106,No,14.8,No,Victory_B,80.836,-178.115,Temperate,Oil,Yes
Iran,Israel,Proxy War,2010,1619,29476,16246,100340,268.7,28.8,1025.1,Urban,1329.9,249,6187.8,11098.1,NATO,None,Conventional,1400,8,No,7.52,No,Victory_B,-77.531,146.651,Tropical,None,No
Iran,Germany,Proxy War,1964,993,648,11301,171190,461.62,18,282.4,Forest,1298.4,1119.3,24103.7,20215.4,Regional,Regional,Cyber,3480,111,No,4.03,No,Stalemate,39.061,-114.13,Arid,Oil,No
Israel,UK,Cold Conflict,2014,1409,11740,17010,59001,298.23,26.8,661.1,Forest,916.4,449.9,6613.1,21724.3,NATO,None,Nuclear,4820,119,No,2.29,Yes,Victory_B,-89.774,-18.772,Temperate,Land,No
USA,Australia,Skirmish,1971,269,26537,23131,87679,485.83,19.3,671.3,Plains,921.1,717.5,23584.3,16427.2,Regional,None,Nuclear,3011,66,No,4.7,Yes,Stalemate,-89.816,-103.868,Temperate,Oil,No
Israel,France,Cold Conflict,1952,1947,22245,23736,166293,68.31,9.1,2806.1,Forest,346.5,1041.8,23438.6,15838.4,Regional,Regional,Mixed,4713,81,Yes,12.91,No,Stalemate,-66.075,-101.441,Polar,Land,No
Israel,Russia,Proxy War,2003,1478,8003,17414,139384,284.2,0.3,1297.5,Urban,1160.2,554.9,20986.9,2763.5,Regional,None,Conventional,3903,184,Yes,6.95,Yes,Stalemate,-3.613,120.6,Polar,None,Yes
Iran,Russia,Cold Conflict,1963,699,18268,27432,174392,399.08,-6.8,126.2,Urban,886,183.1,2460.8,14385.8,None,None,Conventional,724,100,Yes,17.35,Yes,Stalemate,-81.359,30.612,Arid,Oil,No
Brazil,Canada,War,1985,1542,26963,18430,151907,262.82,14.1,416.5,Forest,1156.9,951.6,59.9,6868.4,NATO,Regional,Mixed,187,119,No,1.75,Yes,Victory_A,39.987,-67.878,Temperate,None,No
Russia,China,Cold Conflict,2016,865,43481,15465,170591,45.62,34.6,237.1,Urban,921.3,1144.2,19849.1,7376.1,NATO,NATO,Nuclear,4830,156,Yes,8.33,Yes,Victory_A,-84.729,-89.604,Polar,None,Yes
China,Israel,Skirmish,1959,350,28648,43601,68881,291.48,23.2,1766.6,Forest,419.7,18.9,21084,2378.4,NATO,NATO,Nuclear,2772,174,Yes,5.14,No,Victory_B,-0.822,-103.37,Tropical,Oil,No
USA,Russia,War,1998,110,9090,10208,81273,305.91,4.7,559.9,Plains,266.1,788,24054.9,15900.3,Regional,NATO,Nuclear,4612,115,Yes,17.75,No,Stalemate,31.698,19.601,Arid,Water,Yes
Iran,Canada,Civil War,2014,1507,11567,3460,45693,364.38,27.2,1495.7,Forest,108.7,657.7,5467.4,14599.4,NATO,NATO,Nuclear,2580,113,No,16.12,No,Victory_B,-47.241,83.084,Polar,Water,No
Russia,USA,Proxy War,2006,407,24001,42653,198779,380.63,24.6,1110.2,Desert,820.8,364.2,18331.3,5514.6,Regional,Regional,Cyber,3700,132,No,19.69,No,Stalemate,14.274,-88.73,Polar,Water,Yes
Turkey,UK,Proxy War,1976,650,23401,40980,3632,385.41,2.7,2411.6,Plains,398.4,226.3,12981.4,6583.3,Regional,Regional,Cyber,2939,110,Yes,2.39,No,Victory_B,-42.879,-60.372,Polar,Oil,Yes
China,Iran,Cold Conflict,2024,51,37106,48884,112831,331.76,-9.4,961.5,Urban,883.1,264.1,8218.8,19327.3,Regional,NATO,Nuclear,1138,197,Yes,15.64,No,Victory_A,-51.462,79.332,Tropical,Oil,Yes
China,Turkey,War,1954,1427,19744,3725,161402,107.98,-4.7,1374.8,Urban,83.1,1015.2,15161.2,19825.4,Regional,Regional,Nuclear,203,191,Yes,2.52,No,Victory_B,57.31,85.42,Tropical,Oil,No
Germany,Ukraine,Civil War,2020,1587,4467,38337,173711,202.18,29.5,2163.9,Plains,526.6,751.1,13709.5,12332.2,NATO,NATO,Nuclear,3380,58,Yes,3.1,Yes,Stalemate,-30.076,-105.364,Polar,Oil,Yes
Ukraine,UK,War,2006,1500,38519,1323,104054,388.09,27.6,1300.1,Desert,365.5,1373.6,7314.4,3733.6,Regional,None,Cyber,1345,34,No,0.78,No,Stalemate,56.516,-42.407,Arid,Water,Yes
USA,Ukraine,Proxy War,1964,1111,16304,39978,40050,476.72,3.3,2379.6,Plains,519.1,341.3,6718.9,1399.3,None,None,Mixed,360,4,No,9.29,No,Victory_B,-50.956,133.185,Polar,Water,Yes
China,Australia,War,1979,1092,19855,9257,102642,39.57,2.8,1985.1,Mountain,76.9,1339.7,12169.6,6794,None,None,Conventional,1143,49,No,2.52,No,Victory_B,-25.944,86.469,Temperate,Oil,Yes
Iran,France,Civil War,1969,596,2193,46119,1135,267.81,25.7,1231.6,Desert,1014.1,721.6,11856.2,18282.3,None,NATO,Cyber,213,59,No,6.97,Yes,Stalemate,-71.521,-121.502,Polar,None,Yes
Germany,India,Cold Conflict,1986,979,4101,37860,146722,156.33,32.2,1511.9,Plains,164.3,205.3,7558.3,15024.4,Regional,None,Nuclear,1848,14,No,5.52,Yes,Victory_B,-0.63,-41.053,Tropical,None,No
Russia,Russia,Skirmish,1952,1066,30883,13746,98044,112.77,25.1,2901.6,Mountain,21.1,208.3,6600.6,17955.5,NATO,NATO,Nuclear,3382,107,Yes,19.53,No,Victory_A,-21.313,170.386,Temperate,None,Yes
Turkey,USA,War,2022,731,23040,44738,190923,252.95,17.3,1984.8,Forest,1324.9,852.4,23858.1,11799,NATO,Regional,Nuclear,641,114,No,13.17,No,Stalemate,-88.928,9.136,Tropical,Oil,No
India,Ukraine,Skirmish,1990,57,7910,29124,192861,303.08,0.9,2715,Desert,270.8,1164.2,21560.6,18870.1,Regional,None,Nuclear,605,102,No,8.21,Yes,Stalemate,-6.326,78.965,Arid,Water,Yes
USA,Turkey,Proxy War,1988,738,44140,4887,117359,4.99,13.7,536.3,Forest,1159.5,1047,20421.3,12025.3,Regional,None,Mixed,365,151,Yes,17.57,Yes,Victory_A,-76.605,-146.867,Arid,Oil,Yes
Brazil,Brazil,Cold Conflict,1975,196,37422,23302,107164,390.13,0.5,1449.7,Mountain,1350.3,918.2,5365,2109.5,Regional,None,Cyber,1228,20,No,1.28,No,Victory_B,60.652,119.704,Polar,Land,No
Israel,Israel,Cold Conflict,1951,1784,26108,44008,172718,409.96,26.4,2726,Urban,748.2,241.8,4740.4,2005.7,None,Regional,Conventional,898,1,Yes,6.69,No,Victory_A,-1.135,37.723,Arid,Water,No
France,Russia,War,1972,1702,19001,36167,70460,482.76,7.4,967.8,Urban,737,152.6,20235.1,20789.3,Regional,NATO,Nuclear,4282,172,No,10.29,No,Stalemate,34.209,-116.784,Temperate,Water,No
France,Israel,Cold Conflict,1972,1086,27533,9460,183310,90.4,27.5,2903,Urban,515,1.3,4625,15744.3,Regional,None,Mixed,2771,81,No,1.08,No,Victory_A,57.804,-43.124,Tropical,None,No
Russia,Turkey,War,1965,1287,41565,32792,26875,297.32,7.2,291.2,Forest,596.4,143.4,12593.4,6985.4,NATO,None,Mixed,3064,9,No,2.92,No,Victory_B,-80.788,-150.11,Polar,None,No
Canada,China,War,1958,112,22289,39319,142035,213.37,27.1,2708,Desert,675.4,1073.1,5543.3,18931.8,NATO,NATO,Nuclear,2750,172,Yes,17.9,No,Victory_B,-29.304,99.724,Arid,None,No
Canada,Australia,Skirmish,1962,765,45239,13041,84319,167.48,5,1335.6,Forest,213.8,1253.5,9458,3402,None,None,Nuclear,89,164,Yes,3.59,No,Stalemate,-85.479,88.156,Tropical,Oil,Yes
Russia,India,Cold Conflict,1977,711,28830,16093,14382,282.86,9.8,221.2,Forest,511.3,337.3,21337.8,16134.6,None,None,Conventional,988,150,Yes,18.43,Yes,Stalemate,-81.067,-3.517,Tropical,Land,No
Iran,Russia,War,1976,1202,9336,14720,54945,391.21,17.7,2638.6,Urban,1142.7,1113.1,22286.5,24737.3,None,None,Cyber,2440,172,No,1.92,No,Victory_A,-83.19,-17.274,Arid,None,No
China,Israel,Skirmish,2000,948,46637,20293,135554,11.62,-6.8,755.8,Forest,256.2,279.2,24917,3759,None,NATO,Conventional,3211,168,Yes,17.76,Yes,Victory_B,-3.977,-13.167,Polar,Oil,No
Ukraine,USA,Civil War,2013,26,7161,21348,157692,484.7,32.7,66.8,Mountain,1022.1,349.7,23598.2,3557.2,Regional,None,Cyber,292,64,Yes,9.07,Yes,Victory_A,-8.878,-166.512,Tropical,Land,Yes
USA,Russia,Skirmish,2001,410,18688,45952,137225,404.96,15.8,407.4,Plains,912.6,314.6,16784.6,11701.2,Regional,Regional,Mixed,1489,60,No,11.47,Yes,Stalemate,-78.977,-47.432,Polar,Oil,No
France,Ukraine,Skirmish,1987,758,4002,5127,122096,375.6,12.9,1977.3,Plains,81.2,73.4,10798.8,16070.1,None,NATO,Mixed,4726,117,No,5.63,No,Victory_A,-42.774,-133.739,Tropical,Water,Yes
France,China,War,2014,531,34220,4360,147022,380.22,27.8,2933.4,Plains,32.4,272.5,1451.7,673.4,None,None,Nuclear,3169,133,No,5.47,Yes,Victory_B,-45.992,-113.475,Polar,Water,Yes
Ukraine,Brazil,Proxy War,1967,1801,34464,37696,189537,194.59,29,334.4,Urban,494.2,523.6,15208.1,12496.8,NATO,Regional,Conventional,4265,192,No,9.84,Yes,Stalemate,-36.609,166.362,Polar,Land,No
China,Germany,Proxy War,2012,1341,41635,41640,67617,375.84,13.5,1385.8,Urban,969.3,568.3,5274.9,2088.4,NATO,Regional,Conventional,1449,17,Yes,7.12,No,Victory_A,25.337,-85.757,Arid,None,No
France,Japan,Proxy War,2000,1556,33547,9112,62763,193.45,31.7,541.9,Plains,463.3,433.9,21254.9,6040.7,NATO,Regional,Nuclear,4985,90,Yes,1.55,No,Victory_A,35.472,-5.895,Tropical,Land,No
Israel,Brazil,Skirmish,1958,1130,28974,25923,58689,449.36,-7.1,2235.1,Desert,935.2,721.1,13727,17812.8,None,Regional,Conventional,1090,111,Yes,7.07,No,Victory_B,-28.967,139.605,Arid,Oil,Yes
Brazil,Canada,War,1962,749,20196,8415,140110,88.69,-4.9,354.2,Plains,932,529.8,18340.2,18474.2,NATO,Regional,Mixed,3629,167,No,5.09,No,Victory_B,51.882,-31.143,Temperate,Water,No
USA,Russia,Cold Conflict,1989,1842,12120,47127,103653,146.24,16.9,719.5,Forest,1129.4,1358.5,16840.6,18246,None,None,Mixed,2615,165,No,16.99,No,Victory_A,-14.785,10.303,Polar,None,No
Japan,UK,Skirmish,2004,1488,44964,12731,78538,275.71,5.9,589.2,Plains,140.2,1130.5,8689.8,1638,Regional,Regional,Nuclear,150,172,No,16.77,No,Victory_B,4.032,-119.236,Tropical,Oil,Yes
France,France,Skirmish,1992,246,44253,18358,92955,159.67,10.9,1657.6,Plains,808.4,1303.4,18979.6,19671.2,None,NATO,Nuclear,983,16,Yes,2.83,No,Stalemate,-63.801,-77.371,Arid,Oil,Yes
Russia,UK,War,1993,1105,41377,25199,3027,212.18,4.8,2619.6,Desert,88.4,780.8,21085.9,10810.9,Regional,None,Cyber,1819,140,Yes,14.6,No,Victory_A,-48.079,2.201,Temperate,Water,No
Brazil,Brazil,Civil War,2017,662,21785,35991,115700,246.26,8.2,1533.3,Urban,247.2,950,18605.8,11888,Regional,None,Mixed,976,9,Yes,9.02,No,Victory_A,40.96,-48.635,Polar,None,No
France,Ukraine,Skirmish,1982,909,38602,37092,54691,428.19,27,174.7,Urban,456.4,234.2,19422.4,10498.1,None,Regional,Mixed,188,30,Yes,17.37,No,Stalemate,85.868,-166.228,Tropical,Land,Yes
Australia,UK,Civil War,1973,396,15775,31476,132390,261.64,16.7,1690.2,Forest,990.6,1054.1,9006.8,21427,NATO,Regional,Mixed,2778,49,No,5.48,Yes,Victory_B,36.838,-35.702,Arid,Water,Yes
Turkey,USA,Civil War,1985,522,24465,11077,114515,181.29,34.9,2392.6,Plains,1363.5,331.1,23592.8,17002.5,None,None,Mixed,3756,122,No,1.76,No,Stalemate,-80.244,113.438,Tropical,Water,No
Israel,UK,Proxy War,1959,1857,22376,26794,54481,123.94,25.4,396.5,Mountain,480.2,205,10620.1,12505.6,NATO,NATO,Mixed,2571,83,No,16.01,Yes,Stalemate,-64.28,-138.219,Polar,None,Yes
Brazil,India,War,1969,1760,12793,47476,16806,204.4,2.3,218.1,Forest,730.1,59.6,22427.3,20858.8,Regional,None,Cyber,1186,150,Yes,17.37,Yes,Victory_A,-9.76,-173.257,Temperate,Land,Yes
Germany,Germany,Civil War,2024,926,23613,34078,151886,257.92,1.9,563.4,Urban,363.4,661.7,21446.7,20136,Regional,None,Nuclear,3901,44,Yes,16.81,No,Stalemate,41.863,-137.267,Polar,Water,Yes
Japan,Russia,War,1961,264,23721,9318,191034,373.08,5.1,2238.3,Desert,946,402.2,3117,136.1,Regional,Regional,Nuclear,3439,165,Yes,6.59,No,Victory_B,-60.132,67.273,Tropical,Land,No
Turkey,Turkey,Proxy War,2011,1685,23811,21888,171507,60.61,27.9,1775,Urban,513.9,1381.4,24157.1,11977.2,Regional,NATO,Conventional,2564,138,Yes,0.62,No,Victory_A,45.148,106.072,Polar,Water,No
UK,Australia,War,1967,790,40275,20601,146154,110.88,-8.8,1621.8,Urban,674.8,350.5,24908.6,1065.7,None,Regional,Mixed,4810,135,No,2.79,No,Victory_B,10.05,-162.458,Arid,Land,No
Russia,UK,Skirmish,2012,1298,44654,12553,176824,189.89,0.4,748.4,Desert,795.4,1213.3,15157.6,7686.6,Regional,Regional,Mixed,1347,77,No,18.39,Yes,Stalemate,49.418,139.518,Tropical,Land,No
Russia,China,Civil War,1974,1730,27885,38297,143007,180.26,30.7,996.7,Plains,961.1,443.7,19579.9,20097.9,NATO,Regional,Nuclear,3407,127,Yes,7.28,No,Stalemate,10.375,45.837,Tropical,Oil,No
USA,Australia,War,1961,1968,2642,15310,9846,195.93,18.8,2897.7,Plains,85,1049,23342.8,23601.9,NATO,Regional,Mixed,2625,12,Yes,17.6,Yes,Victory_B,18.454,6.527,Tropical,Water,No
Ukraine,Germany,Cold Conflict,1970,172,17162,8789,104633,396.78,0.2,721.9,Urban,777.3,924.1,510.4,6059.2,Regional,NATO,Mixed,3752,161,Yes,19.62,Yes,Victory_A,-45.226,-88.707,Temperate,Oil,Yes
Turkey,Israel,War,1974,265,5466,45589,163985,162.14,-0.1,2704.9,Forest,604.2,786.9,23250.5,545.4,None,Regional,Mixed,666,192,No,7.91,No,Stalemate,39.634,-46.188,Temperate,Water,No
Brazil,Turkey,Civil War,1960,1987,26565,27481,81064,251,28.8,1741.6,Mountain,188.1,584.1,15687.9,10064.4,Regional,Regional,Nuclear,4683,100,Yes,15.53,No,Stalemate,61.923,160.91,Tropical,Oil,Yes
China,Ukraine,Proxy War,2013,1846,32386,29608,163239,311.99,30.2,369.9,Forest,292,939.9,20713.1,8384.6,Regional,NATO,Conventional,772,9,Yes,3.38,Yes,Stalemate,66.832,148.157,Temperate,Oil,Yes
Russia,Germany,Proxy War,2022,1050,40278,42753,151875,116.17,1.5,1401.9,Forest,1237.6,570.8,13522.6,16927.4,NATO,None,Nuclear,3204,93,Yes,7.67,No,Victory_A,-84.698,45.167,Temperate,Oil,No
Brazil,UK,Civil War,1999,1493,42703,21242,20375,359.38,8.9,2845.6,Urban,1220.6,767.8,13268.3,12381.5,None,Regional,Mixed,4949,75,Yes,14.1,No,Victory_A,22.428,28.408,Arid,Oil,Yes
Iran,Germany,Skirmish,2011,1886,13747,41050,138143,273.6,27.6,1255.7,Urban,47.6,826.1,22439,9977.2,None,None,Nuclear,1164,118,No,4.14,No,Stalemate,88.117,-104.204,Temperate,Oil,Yes
Brazil,Australia,Skirmish,1998,476,38409,9016,53146,223.45,24.7,2590.2,Mountain,965.5,375,12691.7,5746.6,NATO,Regional,Cyber,4953,35,No,6.4,No,Victory_A,15.645,163.18,Temperate,Water,Yes
Iran,France,Proxy War,1963,356,43301,475,144193,404.91,26.6,769.3,Mountain,776.3,476.3,11800,20713.7,NATO,Regional,Mixed,4594,3,No,11.28,No,Victory_B,-59.172,91.941,Temperate,None,Yes
Australia,Ukraine,Proxy War,1950,1050,43415,31549,64699,121.82,13.3,1712.8,Mountain,1315.8,26.3,15208.6,6217.2,NATO,NATO,Nuclear,648,121,No,13.82,No,Stalemate,67.969,-42.387,Tropical,Oil,No
India,UK,Civil War,1974,34,9960,23897,8091,441.6,31,2531.6,Urban,1271.3,1193.2,12969.1,1377.8,None,NATO,Nuclear,2223,148,No,7.14,No,Victory_B,-42.425,113.699,Tropical,None,Yes
India,USA,Skirmish,2008,264,10845,20882,40108,280.57,4.7,2762.1,Urban,811.8,1058.6,11162.7,14119.6,NATO,None,Conventional,4895,124,Yes,7.54,Yes,Victory_A,-81.898,-103.725,Temperate,Oil,No
UK,Brazil,Proxy War,2021,1162,6918,27128,48313,304.63,-2.9,1457.5,Forest,195.4,257.8,4521.3,7940.5,NATO,Regional,Mixed,4946,188,Yes,2.2,No,Victory_A,-12.507,-103.238,Arid,Water,Yes
Germany,India,Skirmish,2018,816,14201,20343,104870,437.54,21.9,1919.1,Urban,644.3,507.5,9941,17813.8,NATO,NATO,Cyber,1059,93,Yes,19.68,Yes,Victory_B,-71.951,104.746,Temperate,Land,No
UK,Japan,Proxy War,1954,1719,5128,29479,107695,408.81,14.3,8.9,Plains,1015.5,590.1,7058.3,2031,Regional,Regional,Cyber,987,37,Yes,12.24,Yes,Victory_A,-69.256,21.351,Arid,None,No
Iran,Iran,War,1968,875,32825,37880,175592,300.82,28.5,759.7,Plains,1332.5,468.8,10017.6,24158,None,Regional,Mixed,2190,75,Yes,10.61,No,Stalemate,-6.608,20.101,Polar,None,No
Turkey,Canada,Cold Conflict,1972,754,48666,30840,28273,376.62,-6.3,836.1,Mountain,510,1117.7,14833,4679.6,None,None,Nuclear,4744,38,Yes,4.23,No,Victory_B,20.283,26.521,Arid,Water,No
France,Ukraine,War,1958,566,43822,49508,33625,216.72,28,280.5,Urban,1098.8,1015.9,15225.2,8932.9,Regional,Regional,Cyber,4623,88,No,9.76,No,Victory_B,72.971,-134.71,Temperate,Land,Yes
China,Germany,Proxy War,1999,462,21187,20084,176921,273.73,3.2,839.1,Plains,957,1074.3,5974.2,12029.1,None,NATO,Mixed,1785,53,Yes,8.95,Yes,Stalemate,36.946,-54.159,Arid,None,Yes
France,USA,Cold Conflict,1965,1192,45638,150,21711,31.13,19.5,963.4,Forest,110.5,1265.9,2121.1,22254,NATO,None,Cyber,1527,61,Yes,5.17,Yes,Victory_A,61.669,26.309,Arid,Water,Yes
Canada,Russia,Cold Conflict,1982,1655,9538,6690,36482,45.02,-8.2,2906.3,Desert,781.6,833.6,18613.5,18066.3,Regional,NATO,Mixed,4679,18,No,8.93,No,Victory_B,-15.879,-90.868,Arid,Oil,Yes
France,Russia,Proxy War,1951,655,18256,40305,162269,414.73,17.4,2005.8,Forest,257.7,860.7,13219,3629.3,NATO,None,Cyber,4319,1,No,4.07,No,Victory_B,-32.653,1.442,Polar,None,Yes
USA,Canada,Proxy War,1963,81,18648,15262,29164,29.93,22.3,1278,Desert,957.3,1011,11058.1,10971,NATO,None,Conventional,1901,149,No,14.2,No,Stalemate,16.711,20.533,Temperate,Land,Yes
